,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
92,0.95,0.33,1.69,1.79,20.0,2.4,50.0,39.6
186,0.68,0.35,1.59,2.34,10.0,1.5,80.0,61.7
128,0.872663551401869,0.565178571428571,2.22321428571429,2.54761904761905,10.0,1.2,57.6,53.7
109,0.95,0.33,1.69,1.79,20.0,1.71,70.0,39.6
15,0.56,0.28,0.97,1.73,19.0,1.0,60.0,103.6
245,0.67,0.42,1.74,2.6,20.0,1.5,40.0,47.53
20,0.7,0.31,1.72,2.45,19.0,2.0,64.0,85.0
255,0.47,0.45,1.53,2.84,25.0,0.5,30.0,41.85
42,0.8,0.38,2.09,2.62,19.0,1.0,80.0,32.4
21,1.02,0.74,1.02,2.3,16.0,0.5,75.0,19.47
268,0.67,0.45,1.91,2.87,16.0,2.0,60.0,37.9
72,0.82,0.54,1.68,2.05,20.0,1.5,80.0,56.13
94,0.95,0.33,1.69,1.79,20.0,3.0,50.0,39.6
57,0.64,0.35,1.35,2.12,12.5,1.5,40.0,57.82
104,0.95,0.33,1.69,1.79,20.0,2.5,60.0,39.6
174,0.65,0.25,1.24,1.91,10.0,1.5,65.0,85.5
76,0.82,0.43,1.26,1.55,20.0,0.5,65.0,73.25
4,0.49,0.49,1.42,2.9,20.0,1.0,82.0,29.42
115,0.95,0.33,1.69,1.79,20.0,1.0,100.0,39.6
256,0.47,0.45,1.53,2.84,25.0,1.0,30.0,41.85
36,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.5,66.7,35.0
120,0.636700648748841,0.420673076923077,1.65144230769231,2.59375,12.5,0.5,80.0,46.85
159,0.622535211267606,0.605,1.6575,2.6625,25.0,0.375,67.0,26.4
163,0.622535211267606,0.495,1.6575,2.6625,25.0,0.5,67.0,36.4
155,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,60.0,47.53
58,0.64,0.35,1.35,2.12,12.5,1.5,20.0,57.82
233,0.44,0.36,1.17,2.63,15.0,1.0,45.0,49.1
184,0.68,0.35,1.59,2.34,10.0,0.5,80.0,61.7
114,0.95,0.33,1.69,1.79,20.0,0.8,100.0,39.6
143,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,1.5,60.0,60.0
192,0.74,0.45,2.28,3.08,10.0,1.5,65.0,52.4
40,0.8,0.38,2.09,2.62,19.0,1.0,65.0,32.4
178,0.65,0.25,1.24,1.91,10.0,0.5,80.0,85.5
33,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.75,37.5,35.0
83,0.95,0.33,1.69,1.79,20.0,1.6,50.0,39.6
103,0.95,0.33,1.69,1.79,20.0,2.17,60.0,39.6
81,0.82,0.43,1.26,1.55,20.0,1.5,80.0,73.25
123,0.636700648748841,0.443937087772704,1.7427701674277,2.73718924403856,12.5,0.5,80.0,52.56
61,0.49,0.35,1.2,2.44,15.0,1.0,40.0,66.7
0,0.49,0.49,1.42,2.9,20.0,0.5,55.0,29.42
106,0.95,0.33,1.69,1.79,20.0,0.57,70.0,39.6
176,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5
180,0.65,0.25,1.24,1.91,10.0,1.5,80.0,85.5
156,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,80.0,47.53
35,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.75,66.7,35.0
194,0.74,0.45,2.28,3.08,10.0,1.0,80.0,52.4
148,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,2.0,60.0,60.0
152,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,2.0,60.0,60.0
188,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7
202,1.04041570438799,0.45974025974026,2.54376058723885,2.44494635798984,19.0,1.0,80.0,49.88
30,0.538793103448276,0.28,1.38888888888889,2.57777777777778,10.0,0.5,54.5,72.4
229,1.38,0.68,3.1,2.25,10.0,0.75,80.0,35.1
52,0.8,0.38,2.09,2.62,19.0,1.0,65.0,60.1
71,0.82,0.54,1.68,2.05,20.0,1.0,80.0,56.13
66,0.82,0.54,1.68,2.05,20.0,1.5,55.0,56.13
235,0.44,0.36,1.18,2.66,15.0,0.5,65.0,49.1
179,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5
160,0.622535211267606,0.605,1.6575,2.6625,25.0,0.5,67.0,26.4
48,0.8,0.38,2.09,2.62,19.0,1.0,65.0,56.2
127,0.872663551401869,0.565178571428571,2.22321428571429,2.54761904761905,10.0,0.9,57.6,53.7
142,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,1.0,60.0,60.0
205,1.04050925925926,0.36,2.17149758454106,2.08695652173913,19.0,0.5,80.0,63.34
