,fc/MPa
0,36.03
1,33.48
2,38.48
3,32.83
4,36.31
5,34.7
6,45.84
7,41.59
8,46.97
9,45.65
10,46.12
11,49.23
12,79.9
13,93.4
14,103.5
15,106.6
16,104.0
17,91.0
18,95.0
19,98.0
20,96.0
21,20.05
22,20.85
23,21.5
24,30.5
25,31.2
26,32.3
27,57.0
28,57.8
29,59.4
30,73.6
31,74.8
32,77.0
33,37.1
34,36.2
35,35.6
36,34.2
37,35.6
38,35.4
39,33.4
40,37.3
41,34.1
42,38.5
43,38.3
44,48.1
45,41.4
46,45.7
47,60.4
48,66.9
49,59.7
50,63.7
51,66.5
52,69.3
53,63.2
54,70.5
55,59.8
56,69.83
57,63.98
58,72.13
59,62.06
60,72.82
61,69.6
62,58.2
63,58.5
64,52.25
65,54.5
66,56.43
67,54.87
68,54.9
69,52.2
70,53.63
71,54.83
72,54.07
73,68.0
74,69.01
75,70.5
76,71.2
77,72.6
78,73.0
79,69.0
80,67.0
81,67.0
82,44.2
83,32.04
84,46.25
85,43.45
86,42.54
87,34.96
88,43.99
89,44.56
90,38.86
91,43.7
92,41.2
93,38.17
94,39.29
95,41.84
96,41.94
97,43.49
98,45.76
99,47.12
100,35.97
101,45.26
102,41.69
103,45.95
104,41.97
105,46.81
106,42.77
107,46.33
108,43.33
109,44.81
110,40.61
111,40.31
112,49.69
113,40.83
114,42.79
115,43.4
116,43.9
117,43.74
118,24.4
119,24.92
120,48.94
121,52.0
122,52.68
123,54.77
124,56.01
125,57.4
126,55.3
127,56.3
128,58.8
129,62.4
130,64.0
131,66.2
132,71.6
133,74.6
134,76.4
135,39.14
136,40.77
137,40.61
138,90.76
139,95.01
140,96.54
141,58.2
142,68.6
143,63.6
144,68.2
145,64.5
146,63.2
147,64.3
148,65.4
149,66.6
150,67.1
151,67.6
152,65.5
153,51.75
154,52.64
155,52.91
156,52.75
157,57.92
158,26.1
159,26.2
160,27.0
161,34.6
162,37.4
163,37.3
164,46.7
165,48.7
166,48.2
167,127.3
168,124.3
169,127.1
170,136.1
171,136.9
172,87.8
173,90.3
174,92.7
175,87.0
176,90.7
177,93.0
178,86.6
179,91.6
180,93.8
181,69.4
182,72.3
183,75.9
184,73.8
185,76.4
186,77.3
187,68.0
188,70.6
189,78.6
190,60.7
191,64.1
192,62.3
193,55.8
194,62.3
195,64.2
196,58.9
197,59.7
198,66.2
199,46.35
200,47.25
201,53.79
202,55.3
203,58.44
204,60.21
205,66.87
206,69.97
207,27.9
208,29.2
209,31.6
210,47.9
211,48.3
212,49.2
213,49.4
214,47.5
215,50.9
216,59.6
217,60.5
218,59.9
219,56.9
220,59.4
221,61.1
222,71.5
223,71.9
224,72.3
225,74.9
226,71.3
227,73.0
228,31.9
229,32.8
230,34.2
231,34.6
232,50.8
233,53.7
234,57.7
235,53.5
236,58.3
237,56.4
238,56.0
239,58.3
240,52.1
241,50.76
242,51.92
243,53.65
244,53.05
245,53.55
246,53.24
247,115.4
248,119.7
249,116.3
250,114.6
251,37.48
252,37.9
253,38.45
254,38.2
255,42.23
256,42.65
257,43.38
258,43.18
259,48.16
260,48.62
261,49.1
262,48.95
263,61.4
264,61.3
265,38.3
266,39.5
267,40.7
268,35.2
269,23.77
