,fc/MPa
92,41.2
186,77.3
128,58.8
109,44.81
15,106.6
245,53.55
20,96.0
255,42.23
42,38.5
21,20.05
268,35.2
72,54.07
94,39.29
57,63.98
104,41.97
174,92.7
76,71.2
4,36.31
115,43.4
256,42.65
36,34.2
120,48.94
159,26.2
163,37.3
155,52.91
58,72.13
233,53.7
184,73.8
114,42.79
143,63.6
192,62.3
40,37.3
178,86.6
33,37.1
83,32.04
103,45.95
81,67.0
123,54.77
61,69.6
0,36.03
106,42.77
176,90.7
180,93.8
156,52.75
35,35.6
194,62.3
148,65.4
152,65.5
188,70.6
202,55.3
30,73.6
229,32.8
52,69.3
71,54.83
66,56.43
235,53.5
179,91.6
160,27.0
48,66.9
127,56.3
142,68.6
205,66.87
1,33.48
34,36.2
193,55.8
248,119.7
228,31.9
138,90.76
139,95.01
172,87.8
263,61.4
168,124.3
86,42.54
63,58.5
6,45.84
141,58.2
190,60.7
5,34.7
44,48.1
260,48.62
85,43.45
27,57.0
259,48.16
167,127.3
107,46.33
56,69.83
209,31.6
198,66.2
100,35.97
105,46.81
154,52.64
50,63.7
214,47.5
158,26.1
191,64.1
265,38.3
216,59.6
227,73.0
251,37.48
39,33.4
28,57.8
47,60.4
203,58.44
88,43.99
74,69.01
137,40.61
223,71.9
87,34.96
220,59.4
222,71.5
181,69.4
187,68.0
253,38.45
239,58.3
49,59.7
199,46.35
258,43.18
11,49.23
78,73.0
231,34.6
22,20.85
112,49.69
126,55.3
166,48.2
169,127.1
183,75.9
117,43.74
257,43.38
140,96.54
134,76.4
12,79.9
121,52.0
200,47.25
215,50.9
77,72.6
69,52.2
119,24.92
157,57.92
195,64.2
67,54.87
38,35.4
54,70.5
129,62.4
173,90.3
161,34.6
59,62.06
182,72.3
133,74.6
219,56.9
230,34.2
226,71.3
89,44.56
53,63.2
206,69.97
17,91.0
149,66.6
108,43.33
24,30.5
177,93.0
234,57.7
75,70.5
266,39.5
64,52.25
213,49.4
10,46.12
232,50.8
8,46.97
224,72.3
101,45.26
145,64.5
93,38.17
262,48.95
201,53.79
252,37.9
144,68.2
165,48.7
197,59.7
247,115.4
218,59.9
124,56.01
212,49.2
45,41.4
241,50.76
164,46.7
62,58.2
242,51.92
221,61.1
185,76.4
125,57.4
98,45.76
246,53.24
236,58.3
70,53.63
68,54.9
16,104.0
238,56.0
3,32.83
43,38.3
46,45.7
264,61.3
51,66.5
135,39.14
240,52.1
19,98.0
29,59.4
9,45.65
136,40.77
243,53.65
65,54.5
113,40.83
97,43.49
80,67.0
110,40.61
31,74.8
269,23.77
131,66.2
