Model,Sample Count,R²,RMSE,MAE,MAPE (%),nRMSE (%)
WeightedEnsemble_L2,54,0.9834460303778885,3.3906685230883307,2.2959862433539495,4.238576171886924,2.9381876283261095
XGBoost,54,0.9826685780595795,3.4693758840992626,2.452689873024269,4.630745015070404,3.006391580675271
NeuralNetFastAI,54,0.980590043587356,3.671525405334616,2.965318199440284,5.85854596418376,3.18156447602653
NeuralNetTorch,54,0.9789450955611703,3.823938464685417,2.662840970357259,4.7962459856807,3.313638184302788
LightGBMLarge,54,0.9767903278126633,4.014844793217029,2.6937841316505717,4.976932049347807,3.479068278350978
LightGBMXT,54,0.9765915334383994,4.032002011314301,2.720522746333369,5.093472640224499,3.493935885021058
KNeighborsDist,54,0.9764549492263878,4.043747907415994,2.9051116025006327,6.1230676780897575,3.5041143045199252
RandomForestMSE,54,0.9756687371326036,4.110707571962319,2.4645345829151295,4.096555932493978,3.562138277263708
CatBoost,54,0.9754039534263446,4.133014329125464,2.7803177784107342,5.31625172835414,3.58146822281236
LightGBM,54,0.9747489678015677,4.18768325560113,2.9410577194779006,5.644708024474945,3.628841642635295
ExtraTreesMSE,54,0.9743064530669644,4.224217665969781,2.601138427169235,4.629938329099748,3.660500577096864
KNeighborsUnif,54,0.9434334233805949,6.267786660101959,4.5045554055107955,8.784229693949506,5.43135759107622
,,,,,,
