model_names,r2,rmse,mae,smape
XGBoost,0.9927201867103577,1.678098312449119,1.020050177750764,100.0
KNeighborsDist,0.9923565983772278,1.71949340137842,0.7239998697351518,100.0
LightGBMLarge,0.992186963558197,1.7384734099221908,0.9670123955055516,100.0
WeightedEnsemble_L2,0.9918938279151917,1.7707863411847349,1.2453890948825415,100.0
ExtraTreesMSE,0.990901529788971,1.876040156953557,1.2322094175550673,100.0
CatBoost,0.9908560514450073,1.8807234041126901,1.115963078251591,100.0
RandomForestMSE,0.9903569221496582,1.9313705020583105,1.3180482023733633,100.0
LightGBMXT,0.9868293404579163,2.257154199330717,1.5600469631618923,100.0
NeuralNetTorch,0.9866827726364136,2.2696812519399048,1.5498204270115605,100.0
LightGBM,0.9862732887268066,2.3043118353731544,1.4572071047182436,100.0
NeuralNetFastAI,0.9749725461006165,3.111471978748671,2.416828601272018,100.0
KNeighborsUnif,0.9532040953636169,4.254629606646649,3.3656295356044064,100.0
